,site,code,date,no2,no2_UT,pm10,pm10_UT,pm2.5
1,Newcastle Centre,NEWC,01-01-2018 00:00,13.7772,17.86228,8.7,NA,5.6
2,Newcastle Centre,NEWC,01-01-2018 01:00,23.81443,36.47562,5.4,NA,1.6
3,Newcastle Centre,NEWC,01-01-2018 02:00,21.32087,41.82725,5.4,NA,1.7
4,Newcastle Centre,NEWC,01-01-2018 03:00,20.89992,43.05505,6.8,NA,0.8
5,Newcastle Centre,NEWC,01-01-2018 04:00,27.68017,57.01818,4.3,NA,2.3
6,Newcastle Centre,NEWC,01-01-2018 05:00,21.78864,28.36585,2.4,NA,-1.4
7,Newcastle Centre,NEWC,01-01-2018 06:00,20.99389,25.15878,1.2,NA,0.2
8,Newcastle Centre,NEWC,01-01-2018 07:00,25.52872,27.51768,1.9,NA,0.8
9,Newcastle Centre,NEWC,01-01-2018 08:00,28.98895,44.8869,5.9,NA,0.8
10,Newcastle Centre,NEWC,01-01-2018 09:00,32.49487,40.17678,2.4,NA,1.8
11,Newcastle Centre,NEWC,01-01-2018 10:00,26.79066,42.2508,6.9,NA,2.6
12,Newcastle Centre,NEWC,01-01-2018 11:00,23.32984,49.64661,4.4,NA,2.6
13,Newcastle Centre,NEWC,01-01-2018 12:00,26.65036,66.90628,8.5,NA,5
14,Newcastle Centre,NEWC,01-01-2018 13:00,28.3336,67.68306,8.3,NA,5.4
15,Newcastle Centre,NEWC,01-01-2018 14:00,32.21471,83.59291,9.9,NA,5.4
16,Newcastle Centre,NEWC,01-01-2018 15:00,45.96123,122.80529,10.5,NA,5.5
17,Newcastle Centre,NEWC,01-01-2018 16:00,58.81638,107.24873,10.4,NA,8.4
18,Newcastle Centre,NEWC,01-01-2018 17:00,38.98802,44.67078,7.9,NA,3.4
19,Newcastle Centre,NEWC,01-01-2018 18:00,34.1247,16.67444,3.3,NA,1
20,Newcastle Centre,NEWC,01-01-2018 19:00,33.18906,15.62846,2.8,NA,1.2
21,Newcastle Centre,NEWC,01-01-2018 20:00,31.18165,14.65251,-0.2,NA,2.4
22,Newcastle Centre,NEWC,01-01-2018 21:00,24.73005,12.28237,3.3,NA,-1.5
23,Newcastle Centre,NEWC,01-01-2018 22:00,22.95448,16.86192,2.3,NA,2.9
24,Newcastle Centre,NEWC,01-01-2018 23:00,15.98774,5.97227,-0.2,NA,2.3
25,Newcastle Centre,NEWC,02-01-2018 00:00,6.11251,3.56443,-1.2,NA,2.2
26,Newcastle Centre,NEWC,02-01-2018 01:00,6.3621,2.72235,0.7,NA,2.2
27,Newcastle Centre,NEWC,02-01-2018 02:00,6.40896,3.15579,2,NA,1
28,Newcastle Centre,NEWC,02-01-2018 03:00,6.31537,3.72706,4,NA,-0.5
29,Newcastle Centre,NEWC,02-01-2018 04:00,21.33178,15.19281,5.7,NA,0.9
30,Newcastle Centre,NEWC,02-01-2018 05:00,32.37171,48.52066,4.2,NA,0.1
31,Newcastle Centre,NEWC,02-01-2018 06:00,45.0431,89.53009,7.4,NA,2.8
32,Newcastle Centre,NEWC,02-01-2018 07:00,73.51413,118.44698,8.6,NA,6.2
33,Newcastle Centre,NEWC,02-01-2018 08:00,70.47317,115.43623,8.4,NA,4
34,Newcastle Centre,NEWC,02-01-2018 09:00,65.94121,97.58673,15.9,NA,4.6
35,Newcastle Centre,NEWC,02-01-2018 10:00,57.48378,71.95911,18.6,NA,3
36,Newcastle Centre,NEWC,02-01-2018 11:00,53.18249,62.65243,14.4,NA,4.2
37,Newcastle Centre,NEWC,02-01-2018 12:00,45.88711,54.20017,12.5,NA,4
38,Newcastle Centre,NEWC,02-01-2018 13:00,45.32428,54.83126,9,NA,6.7
39,Newcastle Centre,NEWC,02-01-2018 14:00,45.83543,61.23973,7.4,NA,4.2
40,Newcastle Centre,NEWC,02-01-2018 15:00,56.77792,88.30142,3.7,NA,6.5
41,Newcastle Centre,NEWC,02-01-2018 16:00,74.71948,151.43251,7.6,NA,6.2
42,Newcastle Centre,NEWC,02-01-2018 17:00,83.59165,128.83454,12.9,NA,10.5
43,Newcastle Centre,NEWC,02-01-2018 18:00,86.06625,133.27048,19.3,NA,12.5
44,Newcastle Centre,NEWC,02-01-2018 19:00,77.96228,108.15102,12.7,NA,15.7
45,Newcastle Centre,NEWC,02-01-2018 20:00,39.7156,60.8087,9.7,NA,1
46,Newcastle Centre,NEWC,02-01-2018 21:00,22.50075,28.66146,6.3,NA,NA
47,Newcastle Centre,NEWC,02-01-2018 22:00,23.29648,29.38812,7.1,NA,2.6
48,Newcastle Centre,NEWC,02-01-2018 23:00,20.58312,32.19817,6.4,NA,1.9
49,Newcastle Centre,NEWC,03-01-2018 00:00,9.0487,11.03116,2.4,NA,NA
50,Newcastle Centre,NEWC,03-01-2018 01:00,8.29971,6.50415,0,NA,-0.6
51,Newcastle Centre,NEWC,03-01-2018 02:00,5.00793,3.67558,1,NA,-1.7
52,Newcastle Centre,NEWC,03-01-2018 03:00,3.55706,2.04668,1,NA,1.2
53,Newcastle Centre,NEWC,03-01-2018 04:00,3.65066,2.14681,-1.3,NA,0
54,Newcastle Centre,NEWC,03-01-2018 05:00,5.70993,2.63044,-2.6,NA,-0.5
55,Newcastle Centre,NEWC,03-01-2018 06:00,13.05765,6.74245,-0.8,NA,-0.8
56,Newcastle Centre,NEWC,03-01-2018 07:00,32.28765,17.60177,2.2,NA,-0.3
57,Newcastle Centre,NEWC,03-01-2018 08:00,36.21837,16.25047,1.2,NA,0.6
58,Newcastle Centre,NEWC,03-01-2018 09:00,34.34664,18.16416,1.9,NA,0.2
59,Newcastle Centre,NEWC,03-01-2018 10:00,29.15351,25.8961,4.6,NA,0.5
60,Newcastle Centre,NEWC,03-01-2018 11:00,20.91631,17.29721,4.3,NA,4.8
61,Newcastle Centre,NEWC,03-01-2018 12:00,22.36834,15.35728,8.9,NA,4.9
62,Newcastle Centre,NEWC,03-01-2018 13:00,24.42735,13.27114,7.8,NA,2.7
63,Newcastle Centre,NEWC,03-01-2018 14:00,24.14528,18.98551,3.9,NA,2.5
64,Newcastle Centre,NEWC,03-01-2018 15:00,25.12838,18.09129,7.6,NA,-0.7
65,Newcastle Centre,NEWC,03-01-2018 16:00,31.58723,28.8106,3.9,NA,0
66,Newcastle Centre,NEWC,03-01-2018 17:00,39.31033,43.9656,7.7,NA,2.6
67,Newcastle Centre,NEWC,03-01-2018 18:00,33.32058,43.23778,3.8,NA,3
68,Newcastle Centre,NEWC,03-01-2018 19:00,22.97831,21.60908,4.4,NA,1.3
69,Newcastle Centre,NEWC,03-01-2018 20:00,24.7564,12.50186,5.7,NA,3.5
70,Newcastle Centre,NEWC,03-01-2018 21:00,21.94893,11.76215,7.7,NA,4.9
71,Newcastle Centre,NEWC,03-01-2018 22:00,17.92435,9.88505,5.6,NA,2.6
72,Newcastle Centre,NEWC,03-01-2018 23:00,20.45212,7.55288,3.2,NA,3.4
73,Newcastle Centre,NEWC,04-01-2018 00:00,10.86425,8.32379,7.5,NA,1.7
74,Newcastle Centre,NEWC,04-01-2018 01:00,9.42822,6.65238,4.7,NA,3
75,Newcastle Centre,NEWC,04-01-2018 02:00,11.84769,7.61458,6.5,NA,1.7
76,Newcastle Centre,NEWC,04-01-2018 03:00,33.90328,24.6496,5.5,NA,3.4
77,Newcastle Centre,NEWC,04-01-2018 04:00,24.95958,43.27359,9.5,NA,1.3
78,Newcastle Centre,NEWC,04-01-2018 05:00,39.05481,60.37055,3.8,NA,6.4
79,Newcastle Centre,NEWC,04-01-2018 06:00,72.52721,103.0589,8.4,NA,1.3
80,Newcastle Centre,NEWC,04-01-2018 07:00,79.35341,131.72253,11.4,NA,3.4
81,Newcastle Centre,NEWC,04-01-2018 08:00,76.92079,133.72731,9.8,NA,3.2
82,Newcastle Centre,NEWC,04-01-2018 09:00,72.75823,130.0073,13.7,NA,7.5
83,Newcastle Centre,NEWC,04-01-2018 10:00,65.92239,110.74463,12.5,NA,8.1
84,Newcastle Centre,NEWC,04-01-2018 11:00,56.0937,91.94391,9.5,NA,8
85,Newcastle Centre,NEWC,04-01-2018 12:00,46.96541,95.30553,7.4,NA,1
86,Newcastle Centre,NEWC,04-01-2018 13:00,54.64429,118.16773,4.5,NA,3.3
87,Newcastle Centre,NEWC,04-01-2018 14:00,49.02504,114.02415,5.7,NA,1.1
88,Newcastle Centre,NEWC,04-01-2018 15:00,51.78695,96.04806,2.2,NA,0.4
89,Newcastle Centre,NEWC,04-01-2018 16:00,59.98247,35.64217,4.8,NA,2
90,Newcastle Centre,NEWC,04-01-2018 17:00,37.13292,39.24334,1.1,NA,1
91,Newcastle Centre,NEWC,04-01-2018 18:00,36.37915,30.55694,-0.5,NA,0.4
92,Newcastle Centre,NEWC,04-01-2018 19:00,34.929,20.5343,-0.3,NA,0.3
93,Newcastle Centre,NEWC,04-01-2018 20:00,30.34006,16.13509,2.8,NA,2.8
94,Newcastle Centre,NEWC,04-01-2018 21:00,29.96642,22.10016,1.1,NA,3
95,Newcastle Centre,NEWC,04-01-2018 22:00,26.59623,18.0416,2.2,NA,0.2
96,Newcastle Centre,NEWC,04-01-2018 23:00,28.32857,10.30732,-0.2,NA,0.1
97,Newcastle Centre,NEWC,05-01-2018 00:00,13.6807,7.21203,3.5,NA,1.6
98,Newcastle Centre,NEWC,05-01-2018 01:00,13.30614,9.69772,4.6,NA,2.5
99,Newcastle Centre,NEWC,05-01-2018 02:00,9.18298,7.20899,7.5,NA,2.3
100,Newcastle Centre,NEWC,05-01-2018 03:00,12.32212,9.38069,7.8,NA,3.3
101,Newcastle Centre,NEWC,05-01-2018 04:00,16.81991,8.47162,5.3,NA,3.1
102,Newcastle Centre,NEWC,05-01-2018 05:00,16.96051,12.92704,6.9,NA,3.9
103,Newcastle Centre,NEWC,05-01-2018 06:00,31.62233,41.38899,9.1,NA,5.2
104,Newcastle Centre,NEWC,05-01-2018 07:00,61.08543,104.24141,6.9,NA,7.2
105,Newcastle Centre,NEWC,05-01-2018 08:00,55.83614,62.0946,7.4,NA,4.8
106,Newcastle Centre,NEWC,05-01-2018 09:00,55.41579,68.50814,7.5,NA,5.8
107,Newcastle Centre,NEWC,05-01-2018 10:00,56.44541,74.04239,9.4,NA,5
108,Newcastle Centre,NEWC,05-01-2018 11:00,50.07382,42.42375,6.4,NA,3.7
109,Newcastle Centre,NEWC,05-01-2018 12:00,50.30599,23.50451,4,NA,1.6
110,Newcastle Centre,NEWC,05-01-2018 13:00,46.3711,26.16934,3.4,NA,2.9
111,Newcastle Centre,NEWC,05-01-2018 14:00,49.83701,31.63099,1.8,NA,3.3
112,Newcastle Centre,NEWC,05-01-2018 15:00,53.53512,23.07759,3,NA,4.6
113,Newcastle Centre,NEWC,05-01-2018 16:00,38.40987,35.7287,2.2,NA,1.8
114,Newcastle Centre,NEWC,05-01-2018 17:00,39.68058,48.74322,1.8,NA,2.3
115,Newcastle Centre,NEWC,05-01-2018 18:00,33.35737,33.60195,0.8,NA,0.9
116,Newcastle Centre,NEWC,05-01-2018 19:00,30.63948,31.11626,1.7,NA,-0.1
117,Newcastle Centre,NEWC,05-01-2018 20:00,19.58294,13.39459,4.5,NA,1
118,Newcastle Centre,NEWC,05-01-2018 21:00,15.03801,7.58845,5,NA,-0.7
119,Newcastle Centre,NEWC,05-01-2018 22:00,11.05502,6.81374,5,NA,1.6
120,Newcastle Centre,NEWC,05-01-2018 23:00,11.52447,6.66642,5.1,NA,1
121,Newcastle Centre,NEWC,06-01-2018 00:00,9.00014,7.53993,6,NA,1.7
122,Newcastle Centre,NEWC,06-01-2018 01:00,7.93755,4.07396,6.3,NA,2.3
123,Newcastle Centre,NEWC,06-01-2018 02:00,7.59385,3.68363,6.1,NA,1.2
124,Newcastle Centre,NEWC,06-01-2018 03:00,10.45317,3.31636,5.9,NA,0.6
125,Newcastle Centre,NEWC,06-01-2018 04:00,11.29704,4.35657,9.1,NA,0
126,Newcastle Centre,NEWC,06-01-2018 05:00,9.28131,3.942,8.8,NA,-2.1
127,Newcastle Centre,NEWC,06-01-2018 06:00,9.09368,3.84151,6.2,NA,1.2
128,Newcastle Centre,NEWC,06-01-2018 07:00,10.12418,6.11037,11.4,NA,2.7
129,Newcastle Centre,NEWC,06-01-2018 08:00,15.8903,8.58386,6.5,NA,5.3
130,Newcastle Centre,NEWC,06-01-2018 09:00,20.48327,14.07588,13.2,NA,3.4
131,Newcastle Centre,NEWC,06-01-2018 10:00,25.54547,12.93097,11.4,NA,4.4
132,Newcastle Centre,NEWC,06-01-2018 11:00,22.82637,11.45264,14.1,NA,3.6
133,Newcastle Centre,NEWC,06-01-2018 12:00,24.93609,18.83314,13.1,NA,1.5
134,Newcastle Centre,NEWC,06-01-2018 13:00,24.70075,17.78053,10.9,NA,3.1
135,Newcastle Centre,NEWC,06-01-2018 14:00,26.05996,13.28983,10.2,NA,3
136,Newcastle Centre,NEWC,06-01-2018 15:00,23.34162,15.23171,13,NA,1.8
137,Newcastle Centre,NEWC,06-01-2018 16:00,32.95226,22.78377,9.7,NA,1.8
138,Newcastle Centre,NEWC,06-01-2018 17:00,50.80902,27.94573,8.3,NA,4.3
139,Newcastle Centre,NEWC,06-01-2018 18:00,45.70299,18.7232,11.4,NA,2.4
140,Newcastle Centre,NEWC,06-01-2018 19:00,50.34389,17.88901,11.9,NA,4.7
141,Newcastle Centre,NEWC,06-01-2018 20:00,40.40585,14.07441,12.6,NA,2.6
142,Newcastle Centre,NEWC,06-01-2018 21:00,30.18694,10.49715,10.2,NA,2
143,Newcastle Centre,NEWC,06-01-2018 22:00,26.76584,11.53484,8.3,NA,2.5
144,Newcastle Centre,NEWC,06-01-2018 23:00,45.70292,12.48298,8.7,NA,3.4
145,Newcastle Centre,NEWC,07-01-2018 00:00,34.01809,14.35139,10.2,NA,1.8
146,Newcastle Centre,NEWC,07-01-2018 01:00,39.77134,38.92446,8.9,NA,2.5
147,Newcastle Centre,NEWC,07-01-2018 02:00,19.83879,19.72963,7.9,NA,1.5
148,Newcastle Centre,NEWC,07-01-2018 03:00,16.79023,22.63413,5.6,NA,1.5
149,Newcastle Centre,NEWC,07-01-2018 04:00,17.16545,15.7225,5.8,NA,0.9
150,Newcastle Centre,NEWC,07-01-2018 05:00,18.15038,12.76755,3.4,NA,0.7
151,Newcastle Centre,NEWC,07-01-2018 06:00,21.76159,19.21368,6.5,NA,0.8
152,Newcastle Centre,NEWC,07-01-2018 07:00,44.50778,64.30258,4.8,NA,-0.6
153,Newcastle Centre,NEWC,07-01-2018 08:00,58.294,61.98265,6,NA,0
154,Newcastle Centre,NEWC,07-01-2018 09:00,57.07453,85.14177,9.1,NA,3.5
155,Newcastle Centre,NEWC,07-01-2018 10:00,64.38743,81.13786,7.3,NA,4.4
156,Newcastle Centre,NEWC,07-01-2018 11:00,58.38669,76.78687,9.9,NA,3.8
157,Newcastle Centre,NEWC,07-01-2018 12:00,56.98,91.75251,12.5,NA,5.7
158,Newcastle Centre,NEWC,07-01-2018 13:00,61.38817,65.65657,12.5,NA,6.2
159,Newcastle Centre,NEWC,07-01-2018 14:00,64.57918,99.82038,13.8,NA,8.9
160,Newcastle Centre,NEWC,07-01-2018 15:00,69.64439,69.64887,14.3,NA,7.7
161,Newcastle Centre,NEWC,07-01-2018 16:00,75.87999,98.41808,13.1,NA,7.9
162,Newcastle Centre,NEWC,07-01-2018 17:00,86.28438,138.66206,17.1,NA,14.3
163,Newcastle Centre,NEWC,07-01-2018 18:00,89.65714,128.01196,26.3,NA,21.2
164,Newcastle Centre,NEWC,07-01-2018 19:00,96.54844,120.85407,31.8,NA,28.8
165,Newcastle Centre,NEWC,07-01-2018 20:00,90.16943,115.31635,32.6,NA,28
166,Newcastle Centre,NEWC,07-01-2018 21:00,79.90139,103.50594,32.6,NA,27.7
167,Newcastle Centre,NEWC,07-01-2018 22:00,76.80659,83.23677,33.1,NA,26.7
168,Newcastle Centre,NEWC,07-01-2018 23:00,70.66349,81.30123,28,NA,23.6
169,Newcastle Centre,NEWC,08-01-2018 00:00,65.69534,77.48952,27.1,NA,22.2
170,Newcastle Centre,NEWC,08-01-2018 01:00,56.43539,64.78527,25.6,NA,22
171,Newcastle Centre,NEWC,08-01-2018 02:00,52.41529,58.40222,21.7,NA,18.5
172,Newcastle Centre,NEWC,08-01-2018 03:00,47.76963,57.13133,18.9,NA,21.2
173,Newcastle Centre,NEWC,08-01-2018 04:00,49.92806,50.55678,20.1,NA,15.7
174,Newcastle Centre,NEWC,08-01-2018 05:00,51.61771,65.27674,21,NA,18.2
175,Newcastle Centre,NEWC,08-01-2018 06:00,59.87749,116.82448,20.3,NA,19.3
176,Newcastle Centre,NEWC,08-01-2018 07:00,94.604,128.81897,26.9,NA,23.8
177,Newcastle Centre,NEWC,08-01-2018 08:00,103.84664,99.891,24.1,NA,17
178,Newcastle Centre,NEWC,08-01-2018 09:00,131.6273,125.8021,29.9,NA,21.7
179,Newcastle Centre,NEWC,08-01-2018 10:00,135.00811,182.26208,43.7,NA,33.3
180,Newcastle Centre,NEWC,08-01-2018 11:00,132.28494,174.15719,33.4,NA,25.9
181,Newcastle Centre,NEWC,08-01-2018 12:00,70.43434,96.71053,22.9,NA,13.3
182,Newcastle Centre,NEWC,08-01-2018 13:00,28.2015,68.36802,17.4,NA,7.8
183,Newcastle Centre,NEWC,08-01-2018 14:00,40.58963,71.22699,19.9,NA,2.7
184,Newcastle Centre,NEWC,08-01-2018 15:00,35.05242,72.87047,20.1,NA,4.6
